ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5987231,M,N,N,2,87655.86952225177,Higher education,Widow,House / apartment,-14965,-5110,1,0,0,Laborers,4
5079954,M,N,Y,0,105761.68855887983,Higher education,Single / not married,House / apartment,-8030,-4745,0,1,0,Medicine staff,2
5567130,M,Y,N,0,112090.53669799228,Higher education,Married,With parents,-22995,-365,1,0,0,High skill tech staff,2
5500891,M,N,Y,1,136366.4126672024,Secondary / secondary special,Civil marriage,House / apartment,-11680,-6570,0,0,0,Accountants,2
5055399,F,Y,N,0,343094.2963726926,Secondary / secondary special,Widow,House / apartment,-11315,-5840,0,0,0,,2
5135049,M,N,N,0,68832.79037523348,Secondary / secondary special,Married,House / apartment,-10585,-7300,0,1,1,Managers,1
5733378,F,N,Y,0,173598.8154419942,Higher education,Widow,House / apartment,-22995,-8395,1,0,0,,1
5732057,F,N,N,0,172666.5364663448,Incomplete higher,Married,House / apartment,-22630,-730,0,0,1,Drivers,2
5051333,F,Y,N,0,112886.10288700063,Secondary / secondary special,Married,House / apartment,-10220,-2190,0,1,0,Managers,2
5731479,M,Y,N,0,100858.88327395693,Higher education,Civil marriage,House / apartment,-21535,-10585,0,1,0,,1
5399758,M,Y,N,0,504522.01176551875,Higher education,Widow,House / apartment,-8395,-5840,0,1,1,Private service staff,1
5401397,M,Y,Y,0,190747.99853711962,Secondary / secondary special,Married,House / apartment,-10220,-4015,0,1,0,High skill tech staff,2
5855485,M,N,N,0,286972.4519844235,Secondary / secondary special,Divorced,House / apartment,-7665,-7300,0,0,1,Sales staff,2
5858884,M,N,N,0,203520.58473479652,Higher education,Divorced,House / apartment,-18615,-730,0,1,0,Security staff,2
5503247,M,N,Y,0,88393.20723812621,Secondary / secondary special,Civil marriage,House / apartment,-11680,0,0,0,0,,2
5864741,F,N,N,0,80556.7547869043,Higher education,Divorced,House / apartment,-16425,-5840,0,0,0,Accountants,2
5035032,F,Y,N,0,360316.2801845095,Secondary / secondary special,Widow,House / apartment,-12410,-10585,0,0,0,Cooking staff,1
5995703,F,Y,Y,0,164413.30106196777,Secondary / secondary special,Single / not married,Municipal apartment,-20075,-6205,0,0,0,Security staff,2
5376761,F,N,N,2,244606.53741925524,Higher education,Widow,House / apartment,-17885,-8030,1,0,0,Laborers,4
5811353,M,Y,Y,0,214102.11047551362,Secondary / secondary special,Civil marriage,Municipal apartment,-18615,-7665,0,0,1,,1
5577745,M,N,N,0,181990.4670433421,Incomplete higher,Civil marriage,House / apartment,-10950,365243,0,1,0,High skill tech staff,2
5659806,F,Y,N,0,177172.46836948497,Lower secondary,Married,House / apartment,-18615,-7300,0,0,0,Waiters/Barmen staff,2
5219339,M,N,Y,0,308570.0822834513,Higher education,Divorced,House / apartment,-14965,-2920,0,1,0,Secretaries,2
5979755,M,N,N,1,175043.49692539958,Secondary / secondary special,Widow,House / apartment,-10220,-1825,0,0,1,Private service staff,3
5625691,M,Y,Y,0,121630.71685278126,Secondary / secondary special,Civil marriage,House / apartment,-19345,-3285,0,1,0,Secretaries,2
5215339,M,Y,Y,0,121305.82247911787,Higher education,Divorced,House / apartment,-8030,-1095,0,1,0,IT staff,2
5443417,F,Y,Y,0,97433.3958134381,Secondary / secondary special,Married,House / apartment,-17520,-3650,0,1,0,IT staff,2
5980328,F,Y,N,0,93477.36370276057,Higher education,Divorced,House / apartment,-15695,-10220,0,1,0,Sales staff,2
5336983,M,N,Y,1,150041.48022697194,Secondary / secondary special,Single / not married,House / apartment,-7665,-8760,0,0,0,Core staff,3
5518812,F,N,Y,0,292477.17972967203,Higher education,Civil marriage,House / apartment,-22630,-8395,0,0,0,Cooking staff,2
5943378,M,N,Y,0,90217.90933775222,Secondary / secondary special,Single / not married,House / apartment,-18250,-1460,1,0,0,Secretaries,2
5002085,F,N,N,1,84239.22811639478,Lower secondary,Divorced,House / apartment,-12045,-7300,0,1,0,,3
5663615,M,Y,Y,0,233836.35436039168,Incomplete higher,Widow,House / apartment,-14600,-2920,0,0,0,Medicine staff,1
5677814,M,N,N,0,202245.95446511373,Higher education,Married,House / apartment,-9490,-2920,0,0,0,Realty agents,1
5957737,M,Y,Y,0,144983.18380074308,Higher education,Divorced,House / apartment,-14235,365243,0,1,0,HR staff,2
5543082,M,N,Y,0,207165.77656988578,Secondary / secondary special,Divorced,Rented apartment,-16425,-2555,1,0,0,Drivers,2
5529927,F,Y,N,0,158326.2864895044,Secondary / secondary special,Divorced,House / apartment,-20805,-2190,0,0,0,Cleaning staff,1
5066336,F,N,Y,0,107760.16305536477,Incomplete higher,Divorced,House / apartment,-8760,-3650,0,0,0,Cooking staff,1
5272966,M,N,N,0,392504.67379832064,Higher education,Divorced,House / apartment,-19710,-5840,0,0,0,Drivers,2
5876375,M,N,Y,2,124899.93156995156,Higher education,Single / not married,House / apartment,-8760,-1825,0,0,0,Realty agents,3
5443181,F,Y,N,0,77032.57158974808,Higher education,Widow,House / apartment,-13140,-1095,0,1,0,Cooking staff,2
5038747,F,Y,Y,0,178265.5285984149,Higher education,Civil marriage,House / apartment,-13505,-1095,0,1,0,Medicine staff,2
5244518,M,Y,N,0,309936.8546390734,Higher education,Widow,House / apartment,-12775,-7300,1,1,0,Secretaries,2
5321941,M,Y,Y,0,273016.597682207,Secondary / secondary special,Single / not married,Municipal apartment,-22265,0,0,1,0,Secretaries,2
5212423,M,N,Y,1,131755.54645572146,Academic degree,Widow,House / apartment,-18615,-2920,0,0,0,Private service staff,2
5684487,M,Y,N,0,92468.05867037179,Secondary / secondary special,Widow,House / apartment,-21900,-2920,0,0,0,Security staff,2
5460021,F,N,N,0,136513.26050230608,Higher education,Married,With parents,-20440,-4015,0,0,0,Managers,2
5330797,F,N,N,1,195335.76601969104,Secondary / secondary special,Civil marriage,House / apartment,-20805,0,0,1,1,High skill tech staff,3
5820287,F,Y,Y,0,189652.45654788287,Secondary / secondary special,Divorced,House / apartment,-11680,0,0,0,1,Drivers,2
5934968,M,N,Y,0,36866.13437552806,Secondary / secondary special,Single / not married,House / apartment,-16060,365243,0,0,0,HR staff,2
5878902,M,Y,N,0,150237.27746295914,Secondary / secondary special,Single / not married,House / apartment,-18250,-5840,0,0,0,IT staff,2
5507014,M,N,N,0,534704.6492667974,Higher education,Widow,House / apartment,-12045,-365,0,1,0,HR staff,1
5063468,F,Y,N,0,132949.11587179961,Higher education,Widow,House / apartment,-22630,-6570,0,0,0,IT staff,2
5568670,F,N,Y,0,104320.37684176372,Secondary / secondary special,Divorced,House / apartment,-15695,-1095,0,0,0,Accountants,1
5855771,M,Y,N,0,102737.07267943362,Higher education,Single / not married,House / apartment,-7665,-4745,1,0,0,High skill tech staff,1
5606372,M,Y,Y,1,336807.7171739516,Secondary / secondary special,Widow,House / apartment,-14965,-5840,0,1,1,Waiters/Barmen staff,3
5358900,M,Y,Y,0,153236.51752573898,Secondary / secondary special,Single / not married,House / apartment,-9490,-5475,1,0,0,Laborers,1
5178392,M,Y,N,1,200228.69371874834,Higher education,Single / not married,House / apartment,-9855,-6570,0,0,0,Low-skill Laborers,3
5921914,M,N,N,0,101702.2913197521,Secondary / secondary special,Married,House / apartment,-21900,-6205,1,1,0,Sales staff,2
5348365,M,Y,Y,0,140502.04780372328,Secondary / secondary special,Widow,House / apartment,-21170,-6205,0,0,0,Secretaries,2
5377482,F,N,N,0,259009.04719444187,Secondary / secondary special,Civil marriage,House / apartment,-8760,365243,1,1,0,Sales staff,2
5044792,M,Y,N,1,158491.0745339195,Secondary / secondary special,Civil marriage,House / apartment,-14235,365243,0,0,0,Realty agents,2
5690927,M,Y,N,1,394360.44480522105,Higher education,Married,House / apartment,-14235,-8395,0,0,0,Managers,3
5050313,F,N,N,0,164187.91304228964,Higher education,Married,House / apartment,-15330,-3650,0,0,0,HR staff,2
5780881,F,Y,N,1,135233.53202971633,Secondary / secondary special,Married,House / apartment,-10220,-1095,0,0,1,Cooking staff,3
5018958,F,Y,Y,0,100186.69920522673,Lower secondary,Divorced,House / apartment,-22265,365243,0,0,0,Private service staff,2
5804703,F,N,Y,0,115964.9849307275,Secondary / secondary special,Civil marriage,House / apartment,-8760,-10220,0,0,0,,2
5008985,M,N,N,0,148315.0717004439,Secondary / secondary special,Civil marriage,House / apartment,-17520,-8030,0,0,0,Private service staff,1
5099901,M,Y,N,1,423764.5881477947,Secondary / secondary special,Single / not married,House / apartment,-15330,-4015,0,0,0,Core staff,2
5655318,F,N,N,0,210309.0315681335,Secondary / secondary special,Married,House / apartment,-22265,-3650,0,1,0,Waiters/Barmen staff,1
5224928,F,Y,Y,1,351668.8466730976,Incomplete higher,Widow,House / apartment,-21535,-2920,1,1,0,Managers,2
5926625,F,Y,Y,1,122492.32521625893,Incomplete higher,Widow,Office apartment,-8395,-4015,0,0,0,Core staff,3
5067898,M,N,N,0,80730.25377166277,Higher education,Civil marriage,House / apartment,-11315,365243,0,0,0,Low-skill Laborers,2
5068878,M,Y,N,2,142016.3653822225,Higher education,Civil marriage,House / apartment,-11680,-730,0,1,0,Cleaning staff,3
5904484,F,N,Y,2,355507.1149768977,Lower secondary,Civil marriage,House / apartment,-10220,-7300,0,1,0,,3
5244299,M,N,Y,2,204030.79672067208,Secondary / secondary special,Civil marriage,House / apartment,-9125,-6205,0,0,0,Secretaries,4
5912237,M,Y,Y,0,114158.0781676089,Higher education,Widow,House / apartment,-22630,-8760,0,0,1,Sales staff,2
5803684,M,N,N,1,472991.812717408,Higher education,Widow,House / apartment,-7665,-6205,0,1,0,Accountants,3
5444936,F,N,N,0,232281.34034856298,Secondary / secondary special,Divorced,House / apartment,-17155,-1095,0,0,0,Core staff,2
5895958,F,N,N,0,136263.04306490283,Secondary / secondary special,Civil marriage,House / apartment,-10950,-5110,0,0,0,Core staff,1
5858828,F,Y,Y,0,254965.95541664798,Secondary / secondary special,Divorced,House / apartment,-11315,-7665,1,1,0,Core staff,2
5575347,F,N,N,1,217158.1483638515,Higher education,Divorced,House / apartment,-14965,-10585,0,1,0,Medicine staff,3
5464016,F,Y,Y,0,254067.9148059434,Higher education,Divorced,House / apartment,-23360,-3285,0,0,1,Accountants,2
5196829,M,Y,N,0,230307.76131202021,Secondary / secondary special,Divorced,House / apartment,-12045,365243,0,0,0,Medicine staff,2
5309023,F,N,N,0,168151.09282760753,Secondary / secondary special,Widow,House / apartment,-10220,-3285,0,1,0,HR staff,2
5347381,F,N,Y,2,285816.6730281906,Secondary / secondary special,Civil marriage,House / apartment,-17155,-9490,1,0,0,Cooking staff,4
5310804,M,Y,Y,0,165755.96196101131,Higher education,Divorced,House / apartment,-21535,-8395,0,0,0,High skill tech staff,2
5837523,F,Y,N,0,118382.58511726344,Secondary / secondary special,Married,House / apartment,-18615,-9125,1,0,0,Cooking staff,2
5268240,M,N,Y,0,134600.5303294868,Higher education,Divorced,House / apartment,-11680,-365,0,0,0,Cleaning staff,2
5366137,F,N,N,0,251990.52180845622,Higher education,Single / not married,House / apartment,-10950,-2920,0,0,1,Cleaning staff,2
5449596,M,N,N,3,90751.64135948576,Higher education,Married,House / apartment,-22995,-9125,0,0,0,Managers,5
5586917,M,N,N,0,306552.01635946037,Higher education,Married,House / apartment,-18250,-8395,0,0,0,Sales staff,2
5980753,F,N,Y,0,120950.65410594815,Higher education,Civil marriage,House / apartment,-16790,-4380,1,0,1,Core staff,2
5051662,M,N,N,0,278869.30353079166,Secondary / secondary special,Widow,House / apartment,-12410,-5475,0,0,0,Private service staff,2
5892873,M,Y,N,0,281607.4900914548,Secondary / secondary special,Married,House / apartment,-8030,-3285,0,1,0,Waiters/Barmen staff,2
5576798,F,Y,Y,0,105096.33859154202,Secondary / secondary special,Civil marriage,House / apartment,-22630,-2555,0,0,0,IT staff,1
5480866,F,Y,Y,0,171214.4551401086,Secondary / secondary special,Widow,House / apartment,-18250,-10585,0,1,0,Cooking staff,2
5550670,M,N,N,0,108438.2497696581,Secondary / secondary special,Widow,House / apartment,-17155,365243,0,0,0,High skill tech staff,2
5584291,M,N,Y,1,358128.29327535763,Secondary / secondary special,Widow,House / apartment,-17885,-7300,1,0,0,Accountants,3
5362131,M,Y,Y,1,100345.87006619944,Secondary / secondary special,Civil marriage,House / apartment,-9125,365243,1,1,0,Cleaning staff,3
5033319,F,N,Y,0,125627.11048190974,Secondary / secondary special,Divorced,House / apartment,-10585,365243,0,0,0,IT staff,2
5215537,M,Y,Y,0,255614.30646780675,Higher education,Married,House / apartment,-7665,-7300,0,0,0,Low-skill Laborers,1
5126314,F,Y,N,0,61405.14462624486,Higher education,Widow,House / apartment,-18980,-8760,0,0,0,Secretaries,1
