ID,MONTHS_BALANCE,STATUS
5987231,0,C
5987231,-1,0
5987231,-2,C
5987231,-3,C
5987231,-4,C
5987231,-5,0
5987231,-6,0
5079954,0,1
5079954,-1,0
5079954,-2,C
5079954,-3,1
5079954,-4,0
5079954,-5,C
5079954,-6,C
5079954,-7,0
5567130,0,X
5567130,-1,0
5567130,-2,0
5567130,-3,C
5567130,-4,C
5500891,0,C
5500891,-1,X
5500891,-2,0
5500891,-3,0
5500891,-4,0
5500891,-5,C
5500891,-6,C
5500891,-7,C
5500891,-8,C
5500891,-9,C
5500891,-10,0
5500891,-11,C
5500891,-12,C
5500891,-13,1
5055399,0,C
5055399,-1,C
5055399,-2,0
5055399,-3,C
5055399,-4,C
5055399,-5,1
5055399,-6,0
5055399,-7,C
5055399,-8,X
5055399,-9,0
5055399,-10,0
5055399,-11,0
5055399,-12,0
5055399,-13,0
5055399,-14,C
5055399,-15,0
5055399,-16,C
5055399,-17,C
5055399,-18,0
5055399,-19,0
5055399,-20,C
5055399,-21,1
5135049,0,0
5135049,-1,5
5135049,-2,C
5135049,-3,C
5135049,-4,0
5135049,-5,0
5135049,-6,C
5135049,-7,0
5135049,-8,0
5135049,-9,C
5135049,-10,C
5135049,-11,0
5733378,0,0
5733378,-1,C
5733378,-2,0
5733378,-3,1
5733378,-4,0
5733378,-5,X
5733378,-6,X
5733378,-7,0
5733378,-8,C
5733378,-9,X
5733378,-10,1
5733378,-11,C
5733378,-12,C
5733378,-13,C
5732057,0,X
5732057,-1,0
5732057,-2,1
5732057,-3,C
5732057,-4,3
5732057,-5,C
5732057,-6,X
5732057,-7,X
5732057,-8,C
5732057,-9,1
5732057,-10,C
5732057,-11,X
5732057,-12,3
5732057,-13,0
5051333,0,0
5051333,-1,0
5051333,-2,0
5051333,-3,0
5051333,-4,C
5051333,-5,0
5051333,-6,C
5051333,-7,0
5051333,-8,C
5051333,-9,C
5051333,-10,C
5051333,-11,C
5051333,-12,C
5051333,-13,C
5051333,-14,0
5051333,-15,0
5051333,-16,0
5051333,-17,C
5051333,-18,0
5051333,-19,C
5731479,0,1
5731479,-1,0
5399758,0,0
5399758,-1,0
5399758,-2,0
5399758,-3,C
5399758,-4,C
5399758,-5,0
5399758,-6,0
5399758,-7,C
5399758,-8,C
5399758,-9,C
5399758,-10,1
5399758,-11,C
5399758,-12,1
5399758,-13,1
5399758,-14,C
5399758,-15,C
5399758,-16,C
5399758,-17,C
5399758,-18,0
5399758,-19,C
5401397,0,X
5401397,-1,0
5401397,-2,X
5401397,-3,X
5401397,-4,0
5401397,-5,0
5855485,0,5
5855485,-1,C
5855485,-2,X
5855485,-3,0
5855485,-4,C
5855485,-5,1
5855485,-6,C
5855485,-7,0
5855485,-8,C
5855485,-9,5
5855485,-10,C
5855485,-11,C
5855485,-12,X
5855485,-13,1
5855485,-14,0
5855485,-15,0
5855485,-16,C
5855485,-17,0
5855485,-18,C
5855485,-19,1
5855485,-20,0
5858884,0,1
5858884,-1,C
5858884,-2,C
5858884,-3,C
5858884,-4,C
5858884,-5,C
5858884,-6,0
5858884,-7,0
5858884,-8,0
5503247,0,C
5503247,-1,C
5503247,-2,0
5503247,-3,C
5864741,0,C
5864741,-1,0
5864741,-2,0
5035032,0,1
5035032,-1,C
5035032,-2,C
5035032,-3,0
5035032,-4,0
5035032,-5,3
5035032,-6,0
5035032,-7,3
5035032,-8,0
5035032,-9,0
5035032,-10,X
5035032,-11,0
5035032,-12,0
5035032,-13,C
5035032,-14,C
5035032,-15,0
5035032,-16,0
5995703,0,0
5995703,-1,0
5995703,-2,0
5995703,-3,0
5995703,-4,0
5995703,-5,0
5995703,-6,0
5995703,-7,0
5995703,-8,0
5995703,-9,C
5995703,-10,0
5995703,-11,0
5995703,-12,0
5995703,-13,0
5995703,-14,C
5995703,-15,0
5995703,-16,0
5995703,-17,1
5995703,-18,0
5995703,-19,0
5995703,-20,0
5995703,-21,X
5995703,-22,C
5995703,-23,0
5376761,0,1
5376761,-1,C
5811353,0,0
5577745,0,0
5577745,-1,C
5577745,-2,C
5577745,-3,C
5577745,-4,C
5577745,-5,0
5577745,-6,C
5577745,-7,C
5577745,-8,0
5577745,-9,X
5577745,-10,0
5577745,-11,C
5577745,-12,0
5659806,0,0
5659806,-1,C
5659806,-2,X
5659806,-3,0
5659806,-4,C
5659806,-5,C
5659806,-6,C
5219339,0,0
5219339,-1,C
5219339,-2,1
5219339,-3,0
5219339,-4,0
5219339,-5,1
5219339,-6,0
5219339,-7,0
5219339,-8,0
5219339,-9,0
5219339,-10,0
5979755,0,X
5979755,-1,C
5979755,-2,0
5979755,-3,0
5979755,-4,X
5979755,-5,X
5979755,-6,C
5979755,-7,0
5625691,0,0
5625691,-1,0
5625691,-2,3
5625691,-3,0
5625691,-4,C
5625691,-5,0
5625691,-6,C
5625691,-7,1
5625691,-8,0
5625691,-9,0
5625691,-10,X
5625691,-11,0
5625691,-12,X
5625691,-13,0
5625691,-14,0
5625691,-15,C
5625691,-16,0
5625691,-17,0
5625691,-18,0
5625691,-19,0
5625691,-20,0
5625691,-21,C
5215339,0,X
5215339,-1,0
5215339,-2,C
5215339,-3,C
5215339,-4,0
5215339,-5,0
5215339,-6,C
5443417,0,X
5980328,0,C
5980328,-1,0
5980328,-2,C
5980328,-3,0
5980328,-4,3
5980328,-5,C
5980328,-6,0
5980328,-7,C
5336983,0,C
5336983,-1,C
5336983,-2,0
5336983,-3,C
5336983,-4,0
5336983,-5,0
5336983,-6,0
5336983,-7,0
5336983,-8,X
5336983,-9,0
5336983,-10,0
5336983,-11,0
5336983,-12,0
5336983,-13,C
5336983,-14,1
5336983,-15,3
5336983,-16,C
5336983,-17,X
5336983,-18,0
5336983,-19,C
5336983,-20,C
5518812,0,X
5518812,-1,C
5518812,-2,0
5518812,-3,1
